name	epoch_version_release	arch	repo
ca-certificates	0:2025.2.80_v9.0.305-91.el9	noarch	repoinfra-rocky-baseos
coreutils	0:8.32-41.el9_8	x86_64	repoinfra-rocky-baseos
curl	0:7.76.1-40.el9	x86_64	repoinfra-rocky-baseos
dnf-plugins-core	0:4.3.0-26.el9	noarch	repoinfra-rocky-baseos
gawk	0:5.1.0-6.el9	x86_64	repoinfra-rocky-baseos
grep	0:3.6-5.el9	x86_64	repoinfra-rocky-baseos
gzip	0:1.12-1.el9	x86_64	repoinfra-rocky-baseos
jq	0:1.6-19.el9_8.2	i686	repoinfra-rocky-baseos
jq	0:1.6-19.el9_8.2	x86_64	repoinfra-rocky-baseos
net-tools	0:2.0-0.64.20160912git.el9	x86_64	repoinfra-rocky-baseos
openssl	1:3.5.5-5.el9_8	x86_64	repoinfra-rocky-baseos
patch	0:2.7.6-16.el9	x86_64	repoinfra-rocky-appstream
tar	2:1.34-11.el9	x86_64	repoinfra-rocky-baseos
unzip	0:6.0-60.el9_8	x86_64	repoinfra-rocky-baseos
